Call Code,Category,Count,Percentage
Chat,Access Issue,2252,92.41
E-Mail,Access Issue,158,6.48
Personal,Access Issue,20,0.82
Transferred Request,Access Issue,5,0.21
Phone,Access Issue,2,0.08
Chat,Citrix Issue,1329,99.33
E-Mail,Citrix Issue,7,0.52
Phone,Citrix Issue,1,0.07
Transferred Request,Citrix Issue,1,0.07
Chat,Headset Issue,822,99.64
Transferred Request,Headset Issue,2,0.24
E-Mail,Headset Issue,1,0.12
Chat,Internet Issue,482,94.88
E-Mail,Internet Issue,19,3.74
Personal,Internet Issue,5,0.98
Phone,Internet Issue,1,0.2
Transferred Request,Internet Issue,1,0.2
Chat,Laptop Issue,3226,97.29
E-Mail,Laptop Issue,32,0.97
Personal,Laptop Issue,24,0.72
Phone,Laptop Issue,20,0.6
Transferred Request,Laptop Issue,14,0.42
Chat,MS Teams Issue,1317,91.97
E-Mail,MS Teams Issue,71,4.96
Personal,MS Teams Issue,27,1.89
Phone,MS Teams Issue,10,0.7
Transferred Request,MS Teams Issue,7,0.49
Chat,Other,14962,76.43
E-Mail,Other,4295,21.94
Personal,Other,162,0.83
Transferred Request,Other,102,0.52
Phone,Other,55,0.28
Chat,VPN Issue,1274,96.15
E-Mail,VPN Issue,32,2.42
Phone,VPN Issue,8,0.6
Transferred Request,VPN Issue,6,0.45
Personal,VPN Issue,5,0.38
