Title,Incident_Count
VWITS_Laptop,588
VWITS_VPN,417
VWITS_Citrix,346
VWITS_Headset,256
VWITS_Access issue,247
VWITS_Laptop issue,209
VWITS_MS Teams,206
VWITS_Any application,175
VWITS_Internet,146
VWITS_Headset issue,138
VWITS_Outlook,138
VWITS_Citrix issue,137
VWITS_VPN issue,117
VWITS_Wi-Fi,111
VWITS_Mouse,96
VWITS_Authentication,80
VWITS-Bi-Weekly Attendance Report,68
VGDS_ Suspicious pattern detected on  user system.,66
VWITS_PKI certificates,64
VWITS_BitLocker issue occurred,63
VWITS-Attendance Regularization,59
VWITS_MS Teams issue,58
VWITS_Wi-Fi issue,58
VWITS_Outlook issue,58
VWITS_MS Office,56
VWITS_Account locked,49
VWITS_Docking station,46
VWITS_Internet issue,46
VWITS- Bi-Weekly Attendance Report,45
VWITS_yes,42
VWITS-Test Ticket,37
VWITS_Zscalar,36
VWITS- Attendance Regularization,35
VWITS-Attendance regularization,32
VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,32
Attendance Regularization,30
VWITS_Macbook,29
VWITS_PKI PIN,27
"VWITS_Unable to access Team showing ""You don't have the required permissions to access this org""",27
VWITS-Reminder - Mandatory Training Completion,27
VWITS-Laptop is not working,24
VWITS_Mouse issue,24
VWITS_DLAD account,21
VWITS_For this I need to enable a COM port on my laptop. Could you please help.,20
"VWITS_ Unable to access Team showing ""You don't have the required permissions to access this org""",20
"VWITS_Hi Team,",19
"VWITS_Hello Team,",18
VWITS_Unable to RDP of server,17
VWITS_Window account,16
VWITS_ New joiner - not able to login the teams and outlook,16
VWITS_Laptop slowness issue,16
VWITS_Citrix not working,15
VWITS-DOJ Correction,15
VWITS- Attendance regularization,15
"VWITS_I am unable to connect any MS Office aaps like teams , outlook on my local wifi, untill and unless the VPN is on. As soon as VPN is disconnected i get logged out automatically.",15
VWITS_Authentication issue,14
VWITS-Headset is not working,14
VWITS_Outlook not working,14
VWITS_Not able to print- Congo,14
"VWITS_As you know, our Citrix slowness issues with VWFS are still ongoing. For the past 2-3 days we are facing extreme slowness. VWFS sent me the below analysis from today for one my team member – Sindhu’s session. Who can help check this?",13
DOJ Correction,13
VWITS_Z-Book,13
VWITS_SAP GUI,13
VWITS_Error while opening file at server,12
VWITS_Updation of Docker desktop to 4.47.0 version,12
VWITS_check point VPN is not connecting,12
VWITS_Not able to log in Scania VDI using VWITS URL https://vwits.scania.com/logon/LogonPoint/index.html,12
VWITS_RAM upgradation,12
VWITS_VPN is not working,11
VWITS_Laptop keypad issue,11
VWITS-Test ticket,11
VWITS-Attendance regulation for 8th November 2024,11
VWITS_Request for HDMI cable,11
VWITS_Admin user account,11
Gen AI Security Awareness Assessment,11
VWITS_MS Office issue,11
VWITS_Headset not working,10
VWITS_Not able to connect with vw-group network,10
VWITS_Mobile Phone,10
VWITS_Macbook issue,10
VWITS-FireEye Alert- POTENTIAL KEEPASS 2.X DATABASE EXPORT (METHODOLOGY)- VWITS,10
VWITS_Compliance,10
VWITS-FireEye Alert- Malware Object - VWITS,10
VWITS_Mouse not working,10
VWITS_ E3 License Issue- New Joinee,10
VWITS-FireEye Alert- LSA PROTECTION DISABLE (METHODOLOGY)- VWITS,10
VWITS_Citrix installation,10
VWITS_Test Ticket. Please close.,10
VWITS-Headset is not working.,10
VWITS_SAP,9
VWITS_HDMI cable,9
