Title,Service_Request_Count,Percentage
VWITS_'VWITS - IT Asset Requisition' requester details.,2347,8.63
VWITS_'Resource Account and Distribution List Form' requester details.,848,3.12
VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,598,2.2
VWITS_Software Uninstallation,219,0.81
VWITS_'K-SRM User ID Creation Form' requester details.,130,0.48
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook,102,0.38
VWITS-Request for providing access for below KIRA resources.,97,0.36
VWITS_Installation of Virtual Smart Card,96,0.35
VWITS_'Shared folder creation or change form' requester details.,79,0.29
VWITS_Docker Desktop 4.24 Uninstallation.,73,0.27
VWITS_Delete old host name in AD,64,0.24
VWITS_'SAFE AND RSA Activation Form' requester details.,60,0.22
VWITS_'VWITS - IT Asset Requisition' requester details_Apple Macbook,58,0.21
VWITS_Remote connection,53,0.19
VWITS_V:V-B2BINT Access,52,0.19
VWITS_'VWITS - IT Asset Requisition' requester details_Apple  Macbook,42,0.15
VWITS_Request for Access to VW Open Network (SSID: vw-internal),42,0.15
VWITS-Quarterly system health checkup and update,39,0.14
VWITS_think-cell 12.0 Uninstallation.,37,0.14
VWITS_Docker Desktop 4.26 Uninstallation.,33,0.12
VWITS_Windows Service Activation,29,0.11
VWITS_Guest WI-FI,28,0.1
VWITS_Color Print Access,26,0.1
VWITS-Kindly revoke admin access,26,0.1
VWITS-International Roaming Activation Request,25,0.09
VWITS_VWITS_KIRA resources access,25,0.09
VWITS-Lenovo system replacement new assigned,23,0.08
VWITS_KIRA resources access,23,0.08
'VWITS - IT Asset Requisition' requester details.,22,0.08
VWITS_Request for IT support of Below mentioned event,21,0.08
VWITS_Printer installation,20,0.07
VWITS_'VWITS - IT Asset Requisition',20,0.07
VWITS_Docker Desktop 4.37 Uninstallation.,19,0.07
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR,19,0.07
VWITS_Partitioning 18c Uninstallation.,18,0.07
VWITS_ Delete old host name in AD,18,0.07
VWITS_yes,18,0.07
VWITS_need to delete the hostname from AD,18,0.07
VWITS_WebSphere Application Server 9.0 Uninstallation.,17,0.06
VWITS -Require T2 Account to logon on CyberArk,16,0.06
VW IT Software Requisition Request,16,0.06
VWITS-Kindly revoke admin  access of below mentioned user,16,0.06
VWITS_printer configuration,15,0.06
VWITS-New iPhone configuration,15,0.06
VWITS_Printer Installation,15,0.06
VWITS_outlook mails are not updating automatically need to manually update it every time,14,0.05
VWITS_Docker Desktop 4.28 Uninstallation.,14,0.05
VWITS_VSC installation,14,0.05
VWITS_Teams recording,14,0.05
VWITS_Docker Desktop 4.34 Uninstallation.,13,0.05
VWITS_KIRA access,13,0.05
VWITS_VSC Installation,13,0.05
"VWITS_VWITS - IT Asset Requisition for Mouse, Location: GGN",13,0.05
VWITS-Need to delete client/computer using MAC Address,13,0.05
VWITS_Docker Desktop 4.32 Uninstallation.,13,0.05
VWITS_Need to delete from AD,13,0.05
VWITS_DbVisualizer 24.1 Uninstallation.,12,0.04
VWITS_Sublime Text 3.0 Uninstallation.,12,0.04
VWITS_Spatial and Graph 18c Uninstallation.,12,0.04
"VWITS_VWITS - IT Asset Requisition for new joinee Laptop, Location: GGN",12,0.04
VWITS_Installation Manager Uninstallation.,12,0.04
VWITS_DbVisualizer 14.0 Uninstallation.,11,0.04
VWITS_Docker Desktop 4.27 Uninstallation.,11,0.04
VWITS_Unity Hub 2.3 Uninstallation.,11,0.04
VWITS_REQ9503341 : VW IT Software Requisition Request,11,0.04
VWITS_Horizon Client 5 Uninstallation.,11,0.04
VWITS_Workstation Player 17.5 Uninstallation.,11,0.04
VWITS_Need to delete the hostname from AD,11,0.04
VWITS_KIRA Resource access,10,0.04
VWITS - IT Asset Requisition' requester details.,10,0.04
"VWITS_Hello Team,",10,0.04
VWITS_Database Vault 18c Uninstallation.,10,0.04
VWITS_REQ9743930 : VW IT Software Requisition Request,10,0.04
VWITS_REQ9644780 : VW IT Software Requisition Request,10,0.04
VWITS_Enterprise Architect 16.1 Uninstallation.,10,0.04
VWITS-Remove hostname and mac address from sccm,10,0.04
VWITS_need to delete from AD,9,0.03
VWITS -Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,9,0.03
VWITS_OLAP 18c Uninstallation.,9,0.03
VWITS_Printer Configuration,9,0.03
VWITS_Multitenant 18c Uninstallation.,9,0.03
VWITS_'VWITS - IT Asset Requisition' requester details_MacBook,9,0.03
VWITS_REQ9670239 : VW IT Software Requisition Request,9,0.03
VWITS_Docker Desktop 4.19 Uninstallation.,9,0.03
VWITS_Advanced Security 18c Uninstallation.,9,0.03
VWITS_Need access on sharedpath \\\\VWVICKSDLPPOC\\Unuathorised Software Installation\\Input Files\\Files Required - Copy,9,0.03
VWITS-Request for IT support of Below mentioned event,9,0.03
VWITS_Software Requisition Request,9,0.03
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:V-B2BINT,9,0.03
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEVSTACK_RDR,9,0.03
VWITS_'VWITS - IT Asset Requisition' requester details.(SDC_GGN),9,0.03
VWITS_Label Security 18c Uninstallation.,9,0.03
VWITS_Database In-Memory 18c Uninstallation.,9,0.03
VWITS -'Resource Account and Distribution List Form' requester details.,9,0.03
VWITS_Docker Desktop 4.33 Uninstallation.,8,0.03
VWITS-Delete old host name in AD,8,0.03
VWITS_Real Application Testing 18c Uninstallation.,8,0.03
VWITS_DbVisualizer 13.0 Uninstallation.,8,0.03
VWITS-Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,8,0.03
VWITS-Kindly revoke access of below mentioned user,8,0.03
VWITS_VW IT Software Requisition Request,8,0.03
VWITS_Request for upload update the emailer displayed on the kiosk at the IT Bar,8,0.03
VWITS_Requires the Kira role for group DMS to enable authorization within the Flexera ITAM system.,8,0.03
VWITS-Intune Migration Request for iPhone,8,0.03
VWITS_Spatial and Graph 21.0 Uninstallation.,8,0.03
VWITS_Update VMware Horizon Client Software,8,0.03
VWITS_VWITS - IT Asset Requisition for (Mouse and Keyboard),8,0.03
VWITS_Beyond Compare 4.4 Uninstallation.,8,0.03
VWITS_'VWITS - IT Asset Requisition' requester details_Apple,8,0.03
"VWITS_Hi Team,",8,0.03
VWITS_Printer configuration,8,0.03
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Hudson, 7th Floor",7,0.03
VWITS-Guest Wi-Fi request,7,0.03
VWITS_'VWITS - IT Asset Requisition' requester details. Dongle,7,0.03
VWITS-iPhone configuration and assigned,7,0.03
VWITS-Installation of Virtual Smart Card,7,0.03
VWITS-Quarterly System health check and update.,7,0.03
Request for Access to VW Open Network (SSID: vw-internal),7,0.03
VWITS_Need to delete client/computer using MAC Address,7,0.03
VWITS_Assets Allocation-GGN,7,0.03
VWITS_HDMI Cable,7,0.03
VWITS_Sublime Text 4.0 Uninstallation.,7,0.03
VWITS_Docker Desktop 4.30 Uninstallation.,7,0.03
VWITS_VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,7,0.03
VWITS_ Request for IT support of Below mentioned event,7,0.03
VWITS-Remove Apple iPhone from DEP,7,0.03
VWITS_Request for Revoke to VW Open Network (SSID: vw-internal),7,0.03
VWITS_Request for IT support of mentioned event,7,0.03
VWITS_Rational Application Developer for WebSphere Software 9.7 Uninstallation.,7,0.03
VWITS-iPhone replacement and configuration for VIP Users,6,0.02
VWITS_Docker Desktop 4.24 Uninstallation,6,0.02
VWITS_VWAG_IPM_BS_ADM access,6,0.02
VWITS_Software installation,6,0.02
"VWITS_Hi, I am new to the team and need access to the KIRA resources.",6,0.02
VWGDS: Change the frequency of Barco Devices from 5 GHz to 2.4 GHz 6th floor Hudson building,6,0.02
VWITS_REQ9630921 : VW IT Software Requisition Request,6,0.02
VWITS_DbVisualizer 23.2 Uninstallation.,6,0.02
VWITS_Delete old host name in AD :,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details.(PD-II),6,0.02
VWITS_To Update the current MongoDB version with v8.0.11 or latest version.,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details-Congo,6,0.02
VWITS_think-cell 13.0 Uninstallation.,6,0.02
VWITS_printer not configure,6,0.02
VWITS-Kindly remove admin access,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details_ Apple  Macbook,6,0.02
VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,6,0.02
VWITS_Need to delete old host name in AD,6,0.02
VWITS_VWITS - IT Asset Requisition for new joinee,5,0.02
VWITS_Docker Desktop 4.38 Uninstallation.,5,0.02
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Ganges, 9th Floor",5,0.02
VWITS_REQ10922141 : VW IT Software Requisition Request,5,0.02
"VWITS_Hi, I am new to the team and need access to the KIRA resoucrce.",5,0.02
VWITS_AnyConnect Secure Mobility Client 4 Uninstallation.,5,0.02
VWITS_Pls grant devstack access,5,0.02
VWITS_'VWITS - IT Asset Requisition' requester details,5,0.02
VWITS_VWITS_KIRA resources access- V:V-UNIXWOB,5,0.02
VWITS_Resource Account and Distribution List Form' requester details.,5,0.02
VWITS-Color Print Access,5,0.02
VWITS_VWAG_COCOA_RDR (for LSO) resource access VWAG_COCOA_RDR (for LSO),5,0.02
VWITS_Remote connection issue,5,0.02
VWITS_'VWITS - IT Asset Requisition' requester details. Laptop,5,0.02
VWITS_VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,5,0.02
VWITS_I require access for Jira and Confluence link which resides on Cocoa Devstack.,5,0.02
VWITS_Oracle Database 19c Enterprise Uninstallation.,5,0.02
VWITS_REQ9708799 : VW IT Software Requisition Request,5,0.02
VWITS_REQ9696612 : VW IT Software Requisition Request,5,0.02
VWITS-Require access for Jira and Confluence,5,0.02
VWITS_need to delete hostname from AD,5,0.02
VWITS_Desk phone display name change,5,0.02
