Month,Location,Total_Tickets,Incidents,Service_Requests,P1,P2,P3,P4,P5,P6,P7
2025-01,Emden,10,5,5,0,0,0,5,0,5,0
2025-01,Ingolstadt,31,31,0,0,0,1,30,0,0,0
2025-01,Pune,2781,1020,1761,0,0,0,2605,0,176,0
2025-01,Wolfsburg,6,1,5,0,0,0,5,1,0,0
2025-02,Emden,3,3,0,0,0,0,0,0,3,0
2025-02,Ingolstadt,16,15,1,0,0,1,15,0,0,0
2025-02,Mladá Boleslav,1,0,1,0,0,0,1,0,0,0
2025-02,Pune,2465,1045,1420,0,1,1,2338,2,123,0
2025-02,Wolfsburg,10,6,4,0,0,4,5,1,0,0
2025-03,Cordoba,1,0,1,0,0,0,1,0,0,0
2025-03,Emden,3,1,2,0,0,0,2,0,1,0
2025-03,Ingolstadt,32,27,5,0,0,0,30,0,1,1
2025-03,Pune,2679,1329,1350,0,0,1,2475,6,197,0
2025-03,Sao Paulo,1,1,0,1,0,0,0,0,0,0
2025-03,Villers-Cotterêts,1,1,0,0,0,0,0,1,0,0
2025-03,Wolfsburg,13,9,4,0,0,1,9,1,2,0
2025-04,Emden,7,2,5,0,0,0,5,0,2,0
2025-04,Ingolstadt,95,93,2,0,0,0,95,0,0,0
2025-04,Pune,2849,1322,1527,0,1,0,2636,2,210,0
2025-04,São Bernardo do Campo,1,1,0,0,0,0,1,0,0,0
2025-04,Wolfsburg,11,7,4,0,0,3,7,1,0,0
2025-05,Ingolstadt,28,26,2,0,0,0,28,0,0,0
2025-05,Pune,2525,1135,1390,0,2,0,2356,7,160,0
2025-05,Wolfsburg,11,6,5,0,0,1,7,0,3,0
2025-06,Emden,2,0,2,0,0,0,2,0,0,0
2025-06,Ingolstadt,31,27,4,0,0,1,30,0,0,0
2025-06,Pune,2757,1263,1494,0,1,1,2558,18,177,2
2025-06,Uitenhage,1,0,1,0,0,0,1,0,0,0
2025-06,Wolfsburg,13,8,5,0,0,4,8,1,0,0
2025-07,Emden,2,0,2,0,0,0,2,0,0,0
2025-07,Ingolstadt,15,15,0,0,0,2,13,0,0,0
2025-07,Pune,3174,1384,1790,0,0,2,2949,35,188,0
2025-07,Wolfsburg,8,3,5,0,0,0,5,0,0,3
2025-08,Emden,1,0,1,0,0,0,1,0,0,0
2025-08,Ingolstadt,91,33,58,0,0,1,90,0,0,0
2025-08,Madrid,1,0,1,0,0,0,1,0,0,0
2025-08,Pune,2488,1105,1383,0,0,0,2315,23,150,0
2025-08,Wolfsburg,8,6,2,0,0,2,5,0,1,0
2025-09,Beijing,1,0,1,0,0,0,1,0,0,0
2025-09,Emden,1,1,0,0,0,0,0,0,0,1
2025-09,Ingolstadt,91,19,72,0,0,0,91,0,0,0
2025-09,Pune,2744,1326,1418,0,1,0,2498,33,212,0
2025-09,Wolfsburg,11,7,4,0,0,6,5,0,0,0
2025-10,Auburn Hills,1,0,1,0,0,0,1,0,0,0
2025-10,Ingolstadt,66,19,47,0,0,3,63,0,0,0
2025-10,Munich,3,0,3,0,0,0,3,0,0,0
2025-10,Pune,2522,1145,1377,0,0,0,2314,26,182,0
2025-10,Wolfsburg,13,6,7,0,0,2,11,0,0,0
2025-11,Emden,4,0,4,0,0,0,4,0,0,0
2025-11,Ingolstadt,93,17,76,0,0,0,93,0,0,0
2025-11,Pune,2885,1382,1503,0,0,1,2590,60,233,1
2025-11,Wolfsburg,22,11,11,0,0,5,14,0,3,0
2025-12,Auburn Hills,2,0,2,0,0,0,2,0,0,0
2025-12,Emden,1,1,0,0,0,0,0,0,0,1
2025-12,Ingolstadt,66,26,40,0,0,4,61,1,0,0
2025-12,Pune,2918,1445,1473,0,0,0,2572,116,230,0
2025-12,San José Chiapa,4,4,0,0,0,0,0,4,0,0
2025-12,Wolfsburg,19,12,7,0,0,3,10,1,5,0
2026-01,Beijing,3,0,3,0,0,0,3,0,0,0
2026-01,Dreieich,71,21,50,0,0,0,51,0,20,0
2026-01,Emden,1,0,1,0,0,0,1,0,0,0
2026-01,Ingolstadt,100,36,64,0,0,7,93,0,0,0
2026-01,Pune,2774,1514,1260,0,0,0,2470,59,245,0
2026-01,Uitenhage,4,4,0,0,0,0,0,0,0,4
2026-01,Wolfsburg,20,15,5,0,0,2,11,3,4,0
2026-02,Dreieich,44,12,32,0,2,0,30,0,12,0
2026-02,Emden,1,1,0,0,0,0,0,0,0,1
2026-02,Ingolstadt,111,34,77,0,0,1,110,0,0,0
2026-02,Pune,2947,1494,1453,0,0,0,2653,26,268,0
2026-02,San José Chiapa,3,0,3,0,0,0,3,0,0,0
2026-02,Weiterstadt,1,0,1,0,0,0,1,0,0,0
2026-02,Wolfsburg,20,13,7,0,0,5,12,1,2,0
2026-03,Auburn Hills,1,0,1,0,0,0,1,0,0,0
2026-03,Beijing,1,1,0,0,0,0,1,0,0,0
2026-03,Dreieich,45,16,29,0,0,0,30,0,15,0
2026-03,Emden,1,1,0,0,0,0,0,0,0,1
2026-03,Ingolstadt,86,23,63,1,0,3,81,1,0,0
2026-03,Pune,2810,1417,1393,1,0,0,2572,24,213,0
2026-03,San José Chiapa,1,0,1,0,0,0,1,0,0,0
2026-03,Wolfsburg,14,5,9,0,0,0,12,0,2,0
2026-04,Beijing,2,0,2,0,0,0,2,0,0,0
2026-04,Dreieich,22,2,20,0,0,0,20,0,2,0
2026-04,Dublin,1,0,1,0,0,0,1,0,0,0
2026-04,Ingolstadt,17,8,9,0,0,0,17,0,0,0
2026-04,Pune,1306,552,754,0,0,0,1195,2,109,0
2026-04,Wolfsburg,3,2,1,0,0,0,2,0,1,0
