Call Code,Category,Count,Percentage
Chat,Access Issue,1622,96.03
E-Mail,Access Issue,55,3.26
Personal,Access Issue,8,0.47
Transferred Request,Access Issue,3,0.18
Phone,Access Issue,1,0.06
Chat,Citrix Issue,1020,99.51
E-Mail,Citrix Issue,5,0.49
Chat,Headset Issue,633,99.37
E-Mail,Headset Issue,2,0.31
Transferred Request,Headset Issue,2,0.31
Chat,Internet Issue,357,96.23
E-Mail,Internet Issue,12,3.23
Phone,Internet Issue,1,0.27
Transferred Request,Internet Issue,1,0.27
Chat,Laptop Issue,2268,97.63
E-Mail,Laptop Issue,21,0.9
Phone,Laptop Issue,17,0.73
Transferred Request,Laptop Issue,9,0.39
Personal,Laptop Issue,8,0.34
Chat,MS Teams Issue,949,92.77
E-Mail,MS Teams Issue,46,4.5
Personal,MS Teams Issue,12,1.17
Phone,MS Teams Issue,9,0.88
Transferred Request,MS Teams Issue,7,0.68
Chat,Other,10599,84.58
E-Mail,Other,1746,13.93
Transferred Request,Other,76,0.61
Personal,Other,68,0.54
Phone,Other,42,0.34
Chat,VPN Issue,901,97.62
E-Mail,VPN Issue,13,1.41
Phone,VPN Issue,4,0.43
Personal,VPN Issue,3,0.33
Transferred Request,VPN Issue,2,0.22
