Title,Service_Request_Count
VWITS_'VWITS - IT Asset Requisition' requester details.,2198
VWITS_'Resource Account and Distribution List Form' requester details.,1060
VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,649
VWITS_Software Uninstallation,196
VWITS_Installation of Virtual Smart Card,126
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook,114
VWITS_'K-SRM User ID Creation Form' requester details.,98
VWITS_'Shared folder creation or change form' requester details.,87
VWITS_Remote connection,69
VWITS_Delete old host name in AD,68
VWGDS-Software Requisition Request,68
VWITS_Request for Access to VW Open Network (SSID: vw-internal),65
VWITS_'VWITS - IT Asset Requisition' requester details_Apple Macbook,64
VWITS_'SAFE AND RSA Activation Form' requester details.,59
VWITS_Teams recording,54
VWITS_V:V-B2BINT Access,48
VWITS-Quarterly system health checkup and update,39
VWITS_Windows Service Activation,36
VWITS_Color Print Access,34
VWITS_VWITS_KIRA resources access,34
VWGDS-Quarterly system health checkup and update,32
"VWITS_Hello Team,   Could you please help me to add the below KIRA resource to my user ID mentioned below, it is required to access Colibri Services application.   V:VWAG_AD_VWG V: V-B2B-EXPORT V: V-B2BINIT V: V-KVS_USER V: V-UNIXWOB V: VWAG_CMDB_VW_USER",30
VWITS - IT Asset Requisition' requester details.,29
VWITS-Lenovo system replacement new assigned,25
VWITS_yes,24
'VWITS - IT Asset Requisition' requester details.,23
VWITS_KIRA resources access,22
VWITS_Request for IT support of Below mentioned event,21
VWITS_'VWITS - IT Asset Requisition',20
VWGDS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,19
VWITS_Docker Desktop 4.37 Uninstallation.,19
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR,19
 VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,19
VWITS_ Delete old host name in AD,18
VWITS_need to delete the hostname from AD,18
VWITS-International Roaming Activation Request,18
VWITS_VSC installation,18
VWITS-Request for providing access for below KIRA resources.,16
VWITS_I want access to devstack tool for my project,15
VWITS-New iPhone configuration,15
VWITS_outlook mails are not updating automatically need to manually update it every time,14
VWITS_Guest WI-FI,14
   VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,14
VWITS_Need to delete from AD,13
VWITS_KIRA access,13
VWITS_Desk phone display name change,13
VWITS_Printer installation,13
VWITS_think-cell 12.0 Uninstallation.,11
VWITS_Need to delete the hostname from AD,11
VWITS-Remove hostname and mac address from sccm,10
VW IT Software Requisition Request,10
VWITS_KIRA Resource access,10
VWITS_REQ9743930 : VW IT Software Requisition Request,10
VWITS- Quarterly System health Check,10
VWITS_'VWITS - IT Asset Requisition' requester details.(SDC_GGN),9
VWITS-Request for IT support of Below mentioned event,9
VWITS -Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,9
VWITS_I would like to install virtual PKI card in my system,9
VWITS_Software Requisition Request,9
VWITS_VW IT Software Requisition Request,9
VWITS_Partitioning 18c Uninstallation.,9
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:V-B2BINT,9
VWITS_Need access on sharedpath \\\\VWVICKSDLPPOC\\Unuathorised Software Installation\\Input Files\\Files Required - Copy,9
"VWITS_Hello Team,",9
VWITS -'Resource Account and Distribution List Form' requester details.,9
VWITS-Need to delete client/computer using MAC Address,9
VWITS_need to delete from AD,9
VWITS-Delete old host name in AD,8
VWITS-Kindly revoke admin access,8
VWITS_Request for upload update the emailer displayed on the kiosk at the IT Bar,8
VWITS_Request for Revoke to VW Open Network (SSID: vw-internal),8
VWITS_Update VMware Horizon Client Software,8
VWITS_Requires the Kira role for group DMS to enable authorization within the Flexera ITAM system.,8
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEVSTACK_RDR,8
VWITS-Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,8
VWITS_DbVisualizer 24.1 Uninstallation.,8
VWITS -Require T2 Account to logon on CyberArk,8
VWITS-Kindly revoke admin  access of below mentioned user,7
VWITS-Remove Apple iPhone from DEP,7
VWITS-Quarterly System health check and update.,7
VWITS- 'Resource Account and Distribution List Form' requester details.,7
VWITS-Guest Wi-Fi request,7
VWITS_Sublime Text 4.0 Uninstallation.,7
VWITS_Request for IT support of mentioned event,7
VWITS_VSC Installation,7
Request for Access to VW Open Network (SSID: vw-internal),7
VWITS_Please help to remove old PKI certificates as i received new PKI card and also help me to configure Virtual PKI card,7
"VWITS_\""VWITS_KIRA resources access",7
VWITS-iPhone configuration and assigned,7
VWITS_ Request for IT support of Below mentioned event,7
VWITS_HDMI Cable,7
VWITS_Enterprise Architect 16.1 Uninstallation.,7
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Hudson, 7th Floor",7
VWITS_VWAG_IPM_BS_ADM access,7
VWITS_MS Teams,7
VWITS_Need Teams recording access (approval received from PD head),7
VWITS_VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,7
VWITS_Delete old host name in AD :,6
VWITS_DbVisualizer 14.0 Uninstallation.,6
VWITS_'VWITS - IT Asset Requisition' requester details.(PD-II),6
VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,6
VWITS_need to access for Drovio software for working open network. macbook ip:84:2F:57:D3:9D:FE,6
 VW IT Software Requisition Request,6
"VWITS_Hello Team, Could you please help and assign the role: V-B2B-EXPORT - B2B to below mentioned user?",6
"VWITS_Hi, I am new to the team and need access to the KIRA resources.",6
VWITS_Need printer access,6
VWGDS: Change the frequency of Barco Devices from 5 GHz to 2.4 GHz 6th floor Hudson building,6
VWITS_I have deleted the hostname from SCCM,6
VWITS_Need to enable recording recording in Microsoft Teams.,6
VWITS_Need to delete old host name in AD,6
VWITS_To Update the current MongoDB version with v8.0.11 or latest version.,6
VWITS_User added ( G-VT-USERS)group,6
VWITS_think-cell 13.0 Uninstallation.,6
VWITS_printer configuration,5
VWITS_need to delete hostname from AD,5
VWITS-Need to delete client HOSTNAMES,5
VWITS_Software installation,5
VWITS_ Require access for Jira and Confluence link which resides on Cocoa Devstack.,5
VWITS_Docker Desktop 4.38 Uninstallation.,5
